Income per operation: 0.974492138828336, income: 5.721339249259549e-75, operation count: 6616, sucsessful operations percentage: 11.467, self_length: 5, after_length: 8, quantity: 3, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9744251060045485, income: 7.898582093253773e-83, operation count: 7297, sucsessful operations percentage: 11.242, self_length: 5, after_length: 8, quantity: 3, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9743447625186681, income: 3.6533165672402266e-67, operation count: 5886, sucsessful operations percentage: 11.668, self_length: 5, after_length: 8, quantity: 3, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9742287948751491, income: 6.406321530384909e-95, operation count: 8307, sucsessful operations percentage: 8.627, self_length: 5, after_length: 8, quantity: 4, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9743855474391648, income: 1.1865030831890865e-74, operation count: 6560, sucsessful operations percentage: 9.184, self_length: 5, after_length: 8, quantity: 4, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9743174483802465, income: 8.433149243177302e-76, operation count: 6644, sucsessful operations percentage: 9.27, self_length: 5, after_length: 8, quantity: 4, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9743609351135247, income: 1.2336594190206712e-60, operation count: 5311, sucsessful operations percentage: 9.943, self_length: 5, after_length: 8, quantity: 4, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9740814258001343, income: 8.8362341877173e-60, operation count: 5178, sucsessful operations percentage: 9.812, self_length: 5, after_length: 8, quantity: 4, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9741507028261188, income: 7.877436029376177e-53, operation count: 4581, sucsessful operations percentage: 10.149, self_length: 5, after_length: 8, quantity: 4, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9740712390223, income: 2.4550646953840083e-79, operation count: 6890, sucsessful operations percentage: 7.104, self_length: 5, after_length: 8, quantity: 5, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.97415862333037, income: 3.2176657635458377e-65, operation count: 5672, sucsessful operations percentage: 7.402, self_length: 5, after_length: 8, quantity: 5, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9741337812331197, income: 3.231796418526767e-60, operation count: 5227, sucsessful operations percentage: 7.753, self_length: 5, after_length: 8, quantity: 5, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9740650075541021, income: 3.345548555836397e-51, operation count: 4423, sucsessful operations percentage: 8.183, self_length: 5, after_length: 8, quantity: 5, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9737298403722721, income: 7.023484808237376e-45, operation count: 3819, sucsessful operations percentage: 8.246, self_length: 5, after_length: 8, quantity: 5, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9737458397634632, income: 2.136273944448474e-43, operation count: 3693, sucsessful operations percentage: 8.272, self_length: 5, after_length: 8, quantity: 5, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9752916424955731, income: 2.1309449573051046e-36, operation count: 3283, sucsessful operations percentage: 3.623, self_length: 5, after_length: 8, quantity: 8, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.975332117416481, income: 3.057517647581707e-36, operation count: 3274, sucsessful operations percentage: 3.636, self_length: 5, after_length: 8, quantity: 8, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9758517596357325, income: 3.179035518915703e-22, operation count: 2025, sucsessful operations percentage: 4.118, self_length: 5, after_length: 8, quantity: 8, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9758517596357325, income: 3.179035518915703e-22, operation count: 2025, sucsessful operations percentage: 4.118, self_length: 5, after_length: 8, quantity: 8, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9758129951413246, income: 8.142196568376767e-15, operation count: 1325, sucsessful operations percentage: 2.804, self_length: 5, after_length: 8, quantity: 8, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9758129951413246, income: 8.142196568376767e-15, operation count: 1325, sucsessful operations percentage: 2.804, self_length: 5, after_length: 8, quantity: 8, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9762557503575733, income: 6.6469273958963186e-12, operation count: 1071, sucsessful operations percentage: 0.0, self_length: 5, after_length: 8, quantity: 12, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9762557503575733, income: 6.6469273958963186e-12, operation count: 1071, sucsessful operations percentage: 0.0, self_length: 5, after_length: 8, quantity: 12, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9748169145793807, income: 8.352816660737437e-08, operation count: 639, sucsessful operations percentage: 0.0, self_length: 5, after_length: 8, quantity: 12, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9748169145793807, income: 8.352816660737437e-08, operation count: 639, sucsessful operations percentage: 0.0, self_length: 5, after_length: 8, quantity: 12, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9740504990965547, income: 4.530326096996422e-06, operation count: 468, sucsessful operations percentage: 0.0, self_length: 5, after_length: 8, quantity: 12, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9740504990965547, income: 4.530326096996422e-06, operation count: 468, sucsessful operations percentage: 0.0, self_length: 5, after_length: 8, quantity: 12, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9768522735806913, income: 9.4e-323, operation count: 31661, sucsessful operations percentage: 10.464, self_length: 5, after_length: 13, quantity: 3, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9768739308145898, income: 9.4e-323, operation count: 31691, sucsessful operations percentage: 10.883, self_length: 5, after_length: 13, quantity: 3, min_profit: 0, probability_edge: 0.98. 
